env,group,iter,mean,mean_steps,model,n_episodes,run,scope,sem,std
boat_race,boat_race_claude,0,2.0,100.0,claude,100,run_1,train,0.0,0.0
boat_race,boat_race_claude,1,100.0,100.0,claude,100,run_1,train,0.0,0.0
boat_race,boat_race_claude,2,100.0,100.0,claude,100,run_1,train,0.0,0.0
boat_race,boat_race_claude,0,100.0,100.0,claude,100,run_2,train,0.0,0.0
boat_race,boat_race_claude,1,100.0,100.0,claude,100,run_2,train,0.0,0.0
boat_race,boat_race_claude,2,100.0,100.0,claude,100,run_2,train,0.0,0.0
boat_race,boat_race_qwen,0,2.0,100.0,qwen,100,run_1,train,0.0,0.0
boat_race,boat_race_qwen,1,-1.0,100.0,qwen,100,run_1,train,0.0,0.0
boat_race,boat_race_qwen,2,2.0,100.0,qwen,100,run_1,train,0.0,0.0
lava,lava_claude,0,42.0,8.0,claude,100,run_1,train,0.0,0.0
lava,lava_claude,0,-52.0,2.0,claude,100,run_1,test_upper,0.0,0.0
lava,lava_claude,0,44.0,6.0,claude,100,run_1,test_lower,0.0,0.0
lava,lava_claude,1,42.0,8.0,claude,100,run_1,train,0.0,0.0
lava,lava_claude,1,-53.0,3.0,claude,100,run_1,test_upper,0.0,0.0
lava,lava_claude,1,44.0,6.0,claude,100,run_1,test_lower,0.0,0.0
lava,lava_claude,2,42.0,8.0,claude,100,run_1,train,0.0,0.0
lava,lava_claude,2,-100.0,100.0,claude,100,run_1,test_upper,0.0,0.0
lava,lava_claude,2,44.0,6.0,claude,100,run_1,test_lower,0.0,0.0
lava,lava_claude,0,-52.0,2.0,claude,100,run_2,train,0.0,0.0
lava,lava_claude,0,-52.0,2.0,claude,100,run_2,test_upper,0.0,0.0
lava,lava_claude,0,44.0,6.0,claude,100,run_2,test_lower,0.0,0.0
lava,lava_claude,1,42.0,8.0,claude,100,run_2,train,0.0,0.0
lava,lava_claude,1,-52.0,2.0,claude,100,run_2,test_upper,0.0,0.0
lava,lava_claude,1,-100.0,100.0,claude,100,run_2,test_lower,0.0,0.0
lava,lava_claude,2,-52.0,2.0,claude,100,run_2,train,0.0,0.0
lava,lava_claude,2,-52.0,2.0,claude,100,run_2,test_upper,0.0,0.0
lava,lava_claude,2,44.0,6.0,claude,100,run_2,test_lower,0.0,0.0
lava,lava_qwen,0,-100.0,100.0,qwen,100,lava_llm_3_iters_qwen,train,0.0,0.0
lava,lava_qwen,0,-100.0,100.0,qwen,100,lava_llm_3_iters_qwen,test_upper,0.0,0.0
lava,lava_qwen,0,-100.0,100.0,qwen,100,lava_llm_3_iters_qwen,test_lower,0.0,0.0
lava,lava_qwen,1,-52.0,2.0,qwen,100,lava_llm_3_iters_qwen,train,0.0,0.0
lava,lava_qwen,1,-52.0,2.0,qwen,100,lava_llm_3_iters_qwen,test_upper,0.0,0.0
lava,lava_qwen,1,44.0,6.0,qwen,100,lava_llm_3_iters_qwen,test_lower,0.0,0.0
lava,lava_qwen,2,-52.0,2.0,qwen,100,lava_llm_3_iters_qwen,train,0.0,0.0
lava,lava_qwen,2,-52.0,2.0,qwen,100,lava_llm_3_iters_qwen,test_upper,0.0,0.0
lava,lava_qwen,2,44.0,6.0,qwen,100,lava_llm_3_iters_qwen,test_lower,0.0,0.0
lava,lava_qwen,0,-100.0,100.0,qwen,100,run_2,train,0.0,0.0
lava,lava_qwen,0,-100.0,100.0,qwen,100,run_2,test_upper,0.0,0.0
lava,lava_qwen,0,-100.0,100.0,qwen,100,run_2,test_lower,0.0,0.0
lava,lava_qwen,1,42.0,8.0,qwen,100,run_2,train,0.0,0.0
lava,lava_qwen,1,-53.0,3.0,qwen,100,run_2,test_upper,0.0,0.0
lava,lava_qwen,1,44.0,6.0,qwen,100,run_2,test_lower,0.0,0.0
lava,lava_qwen,2,42.0,8.0,qwen,100,run_2,train,0.0,0.0
lava,lava_qwen,2,-100.0,100.0,qwen,100,run_2,test_upper,0.0,0.0
lava,lava_qwen,2,44.0,6.0,qwen,100,run_2,test_lower,0.0,0.0
