condition,env_kind,iter,mean,mean_steps,model,n_episodes,run,scope,sem,std,variant
boat_simple_claude_oneshot,boat_race,0,2.0,100.0,claude,100,run_1,train,0.0,0.0,one_shot
boat_simple_claude_oneshot,boat_race,0,100.0,100.0,claude,100,run_2,train,0.0,0.0,one_shot
boat_simple_claude_loop,boat_race,0,100.0,100.0,claude,100,run_1,train,0.0,0.0,loop
boat_simple_claude_loop,boat_race,1,100.0,100.0,claude,100,run_1,train,0.0,0.0,loop
boat_simple_claude_loop,boat_race,2,100.0,100.0,claude,100,run_1,train,0.0,0.0,loop
boat_simple_claude_loop,boat_race,0,100.0,100.0,claude,100,run_2,train,0.0,0.0,loop
boat_simple_claude_loop,boat_race,1,0.0,100.0,claude,100,run_2,train,0.0,0.0,loop
boat_simple_claude_loop,boat_race,2,2.0,100.0,claude,100,run_2,train,0.0,0.0,loop
boat_simple_qwen_oneshot,boat_race,0,0.0,100.0,qwen,100,run_1,train,0.0,0.0,one_shot
boat_simple_qwen_oneshot,boat_race,0,0.0,100.0,qwen,100,run_2,train,0.0,0.0,one_shot
boat_simple_qwen_oneshot,boat_race,0,2.0,100.0,qwen,100,run_3,train,0.0,0.0,one_shot
boat_simple_qwen_loop,boat_race,0,2.0,100.0,qwen,100,run_1,train,0.0,0.0,loop
boat_simple_qwen_loop,boat_race,1,0.0,100.0,qwen,100,run_1,train,0.0,0.0,loop
boat_simple_qwen_loop,boat_race,2,0.0,100.0,qwen,100,run_1,train,0.0,0.0,loop
boat_simple_qwen_loop,boat_race,0,0.0,100.0,qwen,100,run_2,train,0.0,0.0,loop
boat_simple_qwen_loop,boat_race,1,0.0,100.0,qwen,100,run_2,train,0.0,0.0,loop
boat_simple_qwen_loop,boat_race,2,0.0,100.0,qwen,100,run_2,train,0.0,0.0,loop
lava_distshift_claude_oneshot,lava,0,40.0,10.0,claude,100,run_1,train,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,-52.0,2.0,claude,100,run_1,test_upper,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,-100.0,100.0,claude,100,run_1,test_lower,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,-52.0,2.0,claude,100,run_2,train,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,-52.0,2.0,claude,100,run_2,test_upper,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,44.0,6.0,claude,100,run_2,test_lower,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,40.0,10.0,claude,100,run_3,train,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,-100.0,100.0,claude,100,run_3,test_upper,0.0,0.0,one_shot
lava_distshift_claude_oneshot,lava,0,-100.0,100.0,claude,100,run_3,test_lower,0.0,0.0,one_shot
lava_distshift_claude_loop,lava,0,40.0,10.0,claude,100,run_1,train,0.0,0.0,loop
lava_distshift_claude_loop,lava,0,-100.0,100.0,claude,100,run_1,test_upper,0.0,0.0,loop
lava_distshift_claude_loop,lava,0,-100.0,100.0,claude,100,run_1,test_lower,0.0,0.0,loop
lava_distshift_claude_loop,lava,1,-52.0,2.0,claude,100,run_1,train,0.0,0.0,loop
lava_distshift_claude_loop,lava,1,-100.0,100.0,claude,100,run_1,test_upper,0.0,0.0,loop
lava_distshift_claude_loop,lava,1,44.0,6.0,claude,100,run_1,test_lower,0.0,0.0,loop
lava_distshift_claude_loop,lava,2,42.0,8.0,claude,100,run_1,train,0.0,0.0,loop
lava_distshift_claude_loop,lava,2,-52.0,2.0,claude,100,run_1,test_upper,0.0,0.0,loop
lava_distshift_claude_loop,lava,2,-100.0,100.0,claude,100,run_1,test_lower,0.0,0.0,loop
lava_distshift_claude_loop,lava,0,-52.0,2.0,claude,100,run_2,train,0.0,0.0,loop
lava_distshift_claude_loop,lava,0,-52.0,2.0,claude,100,run_2,test_upper,0.0,0.0,loop
lava_distshift_claude_loop,lava,0,44.0,6.0,claude,100,run_2,test_lower,0.0,0.0,loop
lava_distshift_claude_loop,lava,1,-52.0,2.0,claude,100,run_2,train,0.0,0.0,loop
lava_distshift_claude_loop,lava,1,-52.0,2.0,claude,100,run_2,test_upper,0.0,0.0,loop
lava_distshift_claude_loop,lava,1,44.0,6.0,claude,100,run_2,test_lower,0.0,0.0,loop
lava_distshift_claude_loop,lava,2,-52.0,2.0,claude,100,run_2,train,0.0,0.0,loop
lava_distshift_claude_loop,lava,2,-100.0,100.0,claude,100,run_2,test_upper,0.0,0.0,loop
lava_distshift_claude_loop,lava,2,44.0,6.0,claude,100,run_2,test_lower,0.0,0.0,loop
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_1,train,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_1,test_upper,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_1,test_lower,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_2,train,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_2,test_upper,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_2,test_lower,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-52.0,2.0,qwen,100,run_3,train,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_3,test_upper,0.0,0.0,one_shot
lava_distshift_qwen_oneshot,lava,0,-100.0,100.0,qwen,100,run_3,test_lower,0.0,0.0,one_shot
lava_distshift_qwen_loop,lava,0,-52.0,2.0,qwen,100,run_1,train,0.0,0.0,loop
lava_distshift_qwen_loop,lava,0,-52.0,2.0,qwen,100,run_1,test_upper,0.0,0.0,loop
lava_distshift_qwen_loop,lava,0,44.0,6.0,qwen,100,run_1,test_lower,0.0,0.0,loop
lava_distshift_qwen_loop,lava,1,-100.0,100.0,qwen,100,run_1,train,0.0,0.0,loop
lava_distshift_qwen_loop,lava,1,-100.0,100.0,qwen,100,run_1,test_upper,0.0,0.0,loop
lava_distshift_qwen_loop,lava,1,-100.0,100.0,qwen,100,run_1,test_lower,0.0,0.0,loop
lava_distshift_qwen_loop,lava,2,42.0,8.0,qwen,100,run_1,train,0.0,0.0,loop
lava_distshift_qwen_loop,lava,2,-100.0,100.0,qwen,100,run_1,test_upper,0.0,0.0,loop
lava_distshift_qwen_loop,lava,2,44.0,6.0,qwen,100,run_1,test_lower,0.0,0.0,loop
lava_distshift_qwen_loop,lava,0,40.0,10.0,qwen,100,run_2,train,0.0,0.0,loop
lava_distshift_qwen_loop,lava,0,-53.0,3.0,qwen,100,run_2,test_upper,0.0,0.0,loop
lava_distshift_qwen_loop,lava,0,-100.0,100.0,qwen,100,run_2,test_lower,0.0,0.0,loop
lava_distshift_qwen_loop,lava,1,42.0,8.0,qwen,100,run_2,train,0.0,0.0,loop
lava_distshift_qwen_loop,lava,1,-52.0,2.0,qwen,100,run_2,test_upper,0.0,0.0,loop
lava_distshift_qwen_loop,lava,1,-100.0,100.0,qwen,100,run_2,test_lower,0.0,0.0,loop
lava_distshift_qwen_loop,lava,2,40.0,10.0,qwen,100,run_2,train,0.0,0.0,loop
lava_distshift_qwen_loop,lava,2,-53.0,3.0,qwen,100,run_2,test_upper,0.0,0.0,loop
lava_distshift_qwen_loop,lava,2,-100.0,100.0,qwen,100,run_2,test_lower,0.0,0.0,loop
