condition,env_kind,model,variant,scope,n_runs,mean_fitness,std_fitness,sem_fitness,mean_steps
boat_simple_claude_oneshot,boat_race,claude,one_shot,train,2,51.0,49.0,34.648232278140824,100.0
boat_simple_claude_loop,boat_race,claude,loop,train,2,100.0,0.0,0.0,100.0
boat_simple_qwen_oneshot,boat_race,qwen,one_shot,train,3,0.6666666666666666,0.9428090415820634,0.5443310539518174,100.0
boat_simple_qwen_loop,boat_race,qwen,loop,train,2,1.0,1.0,0.7071067811865475,100.0
lava_distshift_claude_oneshot,lava,claude,one_shot,train,3,9.333333333333334,43.36921591277491,25.0392284817836,7.333333333333333
lava_distshift_claude_oneshot,lava,claude,one_shot,test_upper,3,-68.0,22.627416997969522,13.063945294843618,34.666666666666664
lava_distshift_claude_oneshot,lava,claude,one_shot,test_lower,3,-52.0,67.88225099390856,39.191835884530846,68.66666666666667
lava_distshift_claude_loop,lava,claude,loop,train,2,-5.0,47.0,33.23401871576773,5.0
lava_distshift_claude_loop,lava,claude,loop,test_upper,2,-52.0,0.0,0.0,2.0
lava_distshift_claude_loop,lava,claude,loop,test_lower,2,-28.0,72.0,50.91168824543142,53.0
lava_distshift_qwen_oneshot,lava,qwen,one_shot,train,3,-84.0,22.627416997969522,13.063945294843618,67.33333333333333
lava_distshift_qwen_oneshot,lava,qwen,one_shot,test_upper,3,-100.0,0.0,0.0,100.0
lava_distshift_qwen_oneshot,lava,qwen,one_shot,test_lower,3,-100.0,0.0,0.0,100.0
lava_distshift_qwen_loop,lava,qwen,loop,train,2,42.0,0.0,0.0,8.0
lava_distshift_qwen_loop,lava,qwen,loop,test_upper,2,-76.0,24.0,16.97056274847714,51.0
lava_distshift_qwen_loop,lava,qwen,loop,test_lower,2,-28.0,72.0,50.91168824543142,53.0
